stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
366,SUL36R,Hippodrome,44.87428900,-0.62805300,33162,,0,BSULKY,1,2280,SULK,SUL36R,366,2280,Hippodrome
6976,TSUL02,Hippodrome,44.87362600,-0.62958200,33069,,0,BTSULKY,1,2278,TSUL,TSUL02,6976,2278,Hippodrome
8347,THIPPO,Hippodrome,44.87392600,-0.62838400,33069,,0,TTHIPPO,1,4765,HIP,HIPPO_3,8347,4765,HIPPODROME
8348,HIPPA,Hippodrome,44.87393500,-0.62867600,33069,,0,TTHIPPO,1,1808,HIP,HIPPO_A,8348,1808,HIPPODROME
8349,HIPPR,Hippodrome,44.87407800,-0.62816600,33069,,0,TTHIPPO,1,1809,HIP,HIPPO_R,8349,1809,HIPPODROME
8481,HIP35A,Hippodrome,44.87820443,-0.62379312,,,0,,0,4724,HIPP,HIP35A,8481,4724,Hippodrome
8744,THIP12,Hippodrome,44.87356000,-0.62994500,33069,,0,BTHIPO,1,4810,THIP,THIP12,8744,4810,Hippodrome
5907,HOC41A,Hoche,44.84442356,-0.60556139,,,0,,0,1810,HOCH,HOC41A,5907,1810,Hoche
1467,HON55A,Hontane,44.91537900,-0.67763300,33519,,0,BHOTA,0,1812,HOTA,HON55A,1467,1812,Hontane
2912,HON55R,Hontane,44.91528800,-0.67712000,33519,,0,BHOTA,1,1811,HOTA,HON55R,2912,1811,Hontane
13133,HBL70R,Horizons Bleus,44.88996028,-0.63885450,,,0,,0,5679,HBLE,HBL70R,13133,5679,Horizons Bleus
2960,HBL56R,Horizons Bleus,44.88821900,-0.63727100,33162,,0,BHBLEUS,1,1836,HBLE,HBL56R,2960,1836,Horizons Bleus
2961,HBL56A,Horizons Bleus,44.88864100,-0.63731100,33162,,0,BHBLEUS,1,1837,HBLE,HBL56A,2961,1837,Horizons Bleus
13110,REG82R,Hotel de Région,44.83847068,-0.58874984,,,0,,0,5648,HOTR,REG82R,13110,5648,Hotel de Région
2149,HOU94A,Hourcade,44.92755568,-0.46691338,,,0,,0,1849,HOUR,HOU94A,2149,1849,Hourcade
3451,HOU94R,Hourcade,44.92768033,-0.46725093,,,0,,0,1848,HOUR,HOU94R,3451,1848,Hourcade
5732,HOU88R,Hourcade,44.78184000,-0.54720900,33550,,0,BHOURCA,0,1850,HOUR,HOU88R,5732,1850,Hourcade
5733,HOU88A,Hourcade,44.78158000,-0.54716700,33550,,0,BHOURCA,1,1851,HOUR,HOU88A,5733,1851,Hourcade
9284,HOU69R,Hourcade,44.92721700,-0.46880800,33003,,0,BHOURC,1,5188,HOUR,HOU69R,9284,5188,Hourcade
9285,HOU69A,Hourcade,44.92684700,-0.46825200,33003,,0,BHOURC,1,5186,HOUR,HOU69A,9285,5186,Hourcade
9666,SCOHOU,Hourton,44.93156500,-0.76221400,33376,,0,BSCOHOU,0,,,,,,
9795,SCOHOUA,Hourton,44.93152800,-0.76223700,33376,,0,BHOUR1,0,,,,,,
9328,HUS39A,Hustin,44.87419800,-0.68496000,33200,,0,BHUSTIN,1,5246,HUST,HUS39A,9328,5246,Hustin
9329,HUS39R,Hustin,44.87399200,-0.68518800,33200,,0,BHUSTIN,1,5247,HUST,HUS39R,9329,5247,Hustin
9663,SCOHEL,Hélianthes,44.93041200,-0.75527200,33376,,0,BSCOHEL,0,,,,,,
1194,HLE24R,Hôpital Haut-Lévêque,44.78735300,-0.65488900,33318,,0,BHLEVQ,1,212,HLEV,HLE24R,1194,212,Hôp Haut Lévêque
219,HLE24A,Hôpital Haut-Lévêque,44.78712800,-0.65487500,33318,,0,BHLEVQ,1,213,HLE2,HLE24A,219,213,Hôp Haut Lévêque
7435,HTLEVR,Hôpital Haut-Lévêque,44.78774100,-0.65540800,33318,,0,THTLEV,1,1775,HHL,HOPHLV_R,7435,1775,HOP.H.LEVEQUE
7436,HTLEVA,Hôpital Haut-Lévêque,44.78766000,-0.65540300,33318,,0,THTLEV,1,1776,HHL,HOPHLV_A,7436,1776,HOP.H.LEVEQUE
13194,HPR73A,Hôpital Pellegrin,44.83061811,-0.60328172,,,0,,0,5815,CHR,HPR73A,13194,5815,Hôpital Pellegrin
13195,HPOE55,Hôpital Pellegrin,44.82934343,-0.60312393,,,0,,0,5814,CHR2,HPOE55,13195,5814,Hôpital Pellegrin
15037,SBHOPR,Hôpital Pellegrin,44.83009670,-0.60435013,,,0,,0,4454,HOPI,SBHOPR,15037,4454,Hôpital Pellegrin
15038,SBHOPA,Hôpital Pellegrin,44.83022252,-0.60491549,,,0,,0,4442,HOPI,SBHOPA,15038,4442,Hôpital Pellegrin
15039,SBPELR,Hôpital Pellegrin,44.83009966,-0.60370440,,,0,,0,15039,HOPI,SBPELR,15039,15039,Hôpital Pellegrin
4587,HOPIT1,Hôpital Pellegrin,44.83018900,-0.60457100,33063,,0,THOPIT,1,1820,HPE,HOPIT_A,4587,1820,HOP. PELLEGRIN
4588,HOPIT2,Hôpital Pellegrin,44.83016100,-0.60459500,33063,,0,THOPIT,1,1821,HPE,HOPIT_R,4588,1821,HOP. PELLEGRIN
5162,CHRP11,Hôpital Pellegrin,44.82829000,-0.60253700,33063,,0,BCHRPEL,0,1816,CHR1,CHRP11,5162,1816,Hôpital Pellegrin
5417,HOPI41,Hôpital Pellegrin,44.82998000,-0.60350700,33063,,0,BHOPIT,1,1818,HOPI,HOPI41,5417,1818,Hôpital Pellegrin
8531,GMA11A,Hôpital Pellegrin,44.83089006,-0.60267856,,,0,,0,4738,GMAU,GMA11A,8531,4738,Hôpital Pellegrin
1715,CHR41R,Hôpital Pellegrin (entrée Est),44.82944600,-0.60300400,33063,,0,BCHRPE1,1,1822,CHRP,CHR41R,1715,1822,Hôpital Pellegrin
681,CHR11,Hôpital Pellegrin (entrée Est),44.82863500,-0.60272400,33063,,0,BCHRPE2,1,1823,CHR2,CHR11,681,1823,Hôpital Pellegrin
300,GMA12A,Hôpital Pellegrin (Grand Maurian),44.83102000,-0.60506800,33063,,0,BGMAURI,1,1826,GMAU,GMA12A,300,1826,Hôpital Pellegrin
